#{"t_start": 1634605941.1930308, "env_id": "dmc_walker_walk_12348-v1"}
r,l,t
76.457104,1000,43.503646
138.828734,1000,103.501328
112.975436,1000,163.349124
129.290486,1000,223.337618
137.574308,1000,283.072283
166.377258,1000,343.206048
216.668582,1000,403.294729
224.2709,1000,463.230638
406.272578,1000,523.285788
296.126789,1000,582.86297
352.801956,1000,642.604307
345.138398,1000,702.294922
487.082893,1000,762.525472
458.432225,1000,822.452448
532.119032,1000,882.243899
554.492644,1000,941.806296
672.10892,1000,1001.511594
590.328233,1000,1061.062153
674.111488,1000,1120.892427
670.925798,1000,1180.505584
676.145181,1000,1240.475026
758.333457,1000,1300.353526
727.451882,1000,1360.245671
718.902777,1000,1420.070249
726.471283,1000,1480.103799
745.589701,1000,1539.999878
813.681272,1000,1599.883244
851.380755,1000,1659.706655
781.311321,1000,1719.75612
870.627179,1000,1779.565922
842.318119,1000,1839.295717
862.074726,1000,1899.228206
890.917426,1000,1959.047996
900.669225,1000,2019.187453
850.46436,1000,2079.32112
903.575864,1000,2139.201578
922.59521,1000,2198.94629
855.474812,1000,2258.83547
887.895404,1000,2318.493596
846.728466,1000,2378.13791
811.027234,1000,2438.318765
922.085393,1000,2498.075318
757.445777,1000,2558.135591
898.941993,1000,2618.087244
785.921136,1000,2678.152563
886.862559,1000,2737.759819
901.63914,1000,2797.441292
936.942614,1000,2857.407095
926.854866,1000,2917.238386
858.685131,1000,2976.815361
854.680333,1000,3036.711459
873.64487,1000,3096.3682
896.608708,1000,3156.375165
896.189948,1000,3216.368668
884.274654,1000,3276.011788
854.29267,1000,3336.049236
848.871389,1000,3396.09143
718.402363,1000,3455.988162
937.841928,1000,3516.050715
908.410241,1000,3575.879334
868.520011,1000,3635.711236
893.741274,1000,3695.863836
890.807976,1000,3755.67302
941.778572,1000,3815.651621
877.887081,1000,3875.692677
909.257539,1000,3935.393262
930.667354,1000,3995.282163
953.946433,1000,4054.913126
885.00671,1000,4115.016659
895.420963,1000,4174.917783
879.490761,1000,4235.08104
895.373054,1000,4294.996794
883.805697,1000,4355.209714
819.892443,1000,4414.862897
924.653694,1000,4474.919871
887.126843,1000,4535.155189
911.439037,1000,4595.165654
819.955848,1000,4655.074908
930.002909,1000,4714.75387
943.270028,1000,4774.364305
949.864962,1000,4834.357714
913.287013,1000,4894.344424
940.089248,1000,4954.481536
962.72627,1000,5014.440008
862.519614,1000,5074.639621
882.374025,1000,5134.415061
791.704679,1000,5194.354633
643.349673,1000,5254.397335
956.855929,1000,5314.517316
914.152309,1000,5374.391664
927.175597,1000,5434.421274
895.816131,1000,5494.581234
936.103232,1000,5554.39131
938.460548,1000,5614.674665
794.916846,1000,5674.619537
924.932148,1000,5734.633197
918.069846,1000,5794.26447
937.339374,1000,5853.867516
904.821198,1000,5913.541523
907.103104,1000,5973.239235
912.257366,1000,6032.870874
809.538098,1000,6093.059233
919.078799,1000,6153.202609
922.974408,1000,6213.055476
876.845733,1000,6273.246952
952.910526,1000,6333.202383
931.93144,1000,6393.03357
862.109559,1000,6453.008299
882.555939,1000,6512.796564
868.453849,1000,6572.713291
876.342649,1000,6632.571134
784.974422,1000,6692.16524
958.032377,1000,6752.079743
882.349718,1000,6811.89423
829.9831,1000,6872.063772
737.755337,1000,6931.80917
843.312928,1000,6991.906201
866.213166,1000,7051.973775
931.322827,1000,7112.256691
893.076671,1000,7171.952376
887.490561,1000,7231.559525
859.477422,1000,7291.222007
735.367273,1000,7351.191602
846.3623,1000,7411.465419
931.058709,1000,7471.393317
