#{"t_start": 1635795740.9249403, "env_id": "dmc_walker_walk_51236-v1"}
r,l,t
69.97619,1000,433.73773
79.713533,1000,1005.945131
78.895488,1000,1348.126389
156.513137,1000,1701.796677
214.109811,1000,2044.211978
276.826492,1000,2394.497933
261.726852,1000,2748.427718
259.971271,1000,3099.186619
269.334265,1000,3460.733462
232.765241,1000,3822.131684
354.743513,1000,4177.296349
350.710191,1000,4523.32783
394.900122,1000,4860.621431
376.835421,1000,5202.532645
410.011016,1000,5555.130939
431.847798,1000,5892.384766
481.466962,1000,6237.098927
499.015499,1000,6574.889715
474.637808,1000,6917.29599
531.885816,1000,7269.025225
